clip_id,relative_path,class_label,session_id,actor_group,proposed_split,is_sampled_for_audit
FD0018,data/sitting_to_fall/video_20260223_151902.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actorF_green_polo,test,False
FD0019,data/sitting_to_fall/video_20260223_151930.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actorF_green_polo,test,False
FD0020,data/sitting_to_fall/video_20260223_153406.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actorE_black_graphic_top,val,True
FD0021,data/sitting_to_fall/video_20260223_153438.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0022,data/sitting_to_fall/video_20260223_153506.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actorE_black_graphic_top,val,False
FD0023,data/sleeping_to_fall/video_20260223_150610.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0024,data/sleeping_to_fall/video_20260223_150715.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actorD_pink_shirt,train,True
FD0025,data/sleeping_to_fall/video_20260223_150814.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0026,data/sleeping_to_fall/video_20260223_150849.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0027,data/sleeping_to_fall/video_20260223_150939.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actorE_black_graphic_top,val,True
FD0028,data/sleeping_to_fall/video_20260223_151151.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0029,data/sleeping_to_fall/video_20260223_151256.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0030,data/sleeping_to_fall/video_20260223_151648.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0031,data/sleeping_to_fall/video_20260223_151755.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0032,data/sleeping_to_fall/video_20260223_152328.mp4,sleeping_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0033,data/standing_to_fall/video_20260216_152051.mp4,standing_to_fall,session_20260216,grp_session_20260216_actorA_dark_top,train,False
FD0034,data/standing_to_fall/video_20260216_152309.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0035,data/standing_to_fall/video_20260216_152357.mp4,standing_to_fall,session_20260216,grp_session_20260216_actorA_dark_top,train,True
FD0036,data/standing_to_fall/video_20260216_152530.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0037,data/standing_to_fall/video_20260216_152555.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0038,data/standing_to_fall/video_20260216_152627.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0039,data/standing_to_fall/video_20260216_152643.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0040,data/standing_to_fall/video_20260216_152909.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0041,data/standing_to_fall/video_20260216_152945.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0042,data/standing_to_fall/video_20260216_153804.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0043,data/standing_to_fall/video_20260216_153842.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0044,data/standing_to_fall/video_20260216_154044.mp4,standing_to_fall,session_20260216,grp_session_20260216_actorB_green_polo,train,True
FD0045,data/standing_to_fall/video_20260216_154134.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0046,data/standing_to_fall/video_20260216_154655.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0047,data/standing_to_fall/video_20260216_154746.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0048,data/standing_to_fall/video_20260216_154857.mp4,standing_to_fall,session_20260216,grp_session_20260216_actorC_male_glasses,val,False
FD0049,data/standing_to_fall/video_20260216_155034.mp4,standing_to_fall,session_20260216,grp_session_20260216_actorC_male_glasses,val,True
FD0050,data/standing_to_fall/video_20260216_155114.mp4,standing_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0051,data/standing_to_fall/video_20260223_152105.mp4,standing_to_fall,session_20260223,grp_session_20260223_actorF_green_polo,test,True
FD0052,data/standing_to_fall/video_20260223_152210.mp4,standing_to_fall,session_20260223,grp_session_20260223_actorD_pink_shirt,train,True
FD0053,data/standing_to_fall/video_20260223_152238.mp4,standing_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0054,data/standing_to_fall/video_20260223_152521.mp4,standing_to_fall,session_20260223,grp_session_20260223_actorG_pattern_blouse,test,True
