clip_id,relative_path,sha256,total_frames,fps,duration_sec
FD0017,data/sitting_to_fall/video_20260223_151550.mp4,91a8de1ca335337dd8ece6a8df35466bdc31215697295ffcb5b7a5ba24da342d,289,50.004,5.78
FD0018,data/sitting_to_fall/video_20260223_151902.mp4,33f5f434a129c423495b5b191f783b5801c6f63580f40a70526110050dd47765,402,60.015,6.698
FD0019,data/sitting_to_fall/video_20260223_151930.mp4,ee673ce754d55dea8e45dae47ed411233d74cdc4097552667439a63e7cccd4e9,381,50.005,7.619
FD0020,data/sitting_to_fall/video_20260223_153406.mp4,7e6cbc373f28ab16ff85c38a1444678ca99b0c4c4b324c8894079a764db00f8b,425,60.017,7.081
FD0021,data/sitting_to_fall/video_20260223_153438.mp4,a2c1e553fece397dd613b11d8b5ad1c01424e6570c6e0c25f26f6012106d98cd,396,60.015,6.598
FD0022,data/sitting_to_fall/video_20260223_153506.mp4,3fe1a6fb303e4392402f259e8ea70356088d22e412d8a576cf36c94a62682099,442,59.799,7.391
FD0023,data/sleeping_to_fall/video_20260223_150610.mp4,c2a6a1d1074e5a8e5a1a2518c015d6777660d9c4f3ca0a3e15a6c1643fc68f42,598,60.016,9.964
FD0024,data/sleeping_to_fall/video_20260223_150715.mp4,6af452b9809489ca2d45f925577c4ec4e4e6ee3d3fb92cc9efafa28762a65a02,346,60.015,5.765
FD0025,data/sleeping_to_fall/video_20260223_150814.mp4,934d3e10778ca7c515b944fbd6f72770deb9328c10cbf366973adabd1377819a,340,55.449,6.132
FD0026,data/sleeping_to_fall/video_20260223_150849.mp4,e3a16239285582e33b785e8a09b019c98ae0900964fb6ed1292da6947788372e,664,60.016,11.064
FD0027,data/sleeping_to_fall/video_20260223_150939.mp4,03a7e9265318930d31042152696cf51a85332b58efc741c48577f96b77a16d32,437,60.016,7.281
FD0028,data/sleeping_to_fall/video_20260223_151151.mp4,bbdcdd579c9c8a38f2b8addff1e003d91bdd3357585c66856a1541f29caf3e16,363,60.017,6.048
FD0029,data/sleeping_to_fall/video_20260223_151256.mp4,d7f16cbd4a1922aff5eaa5212deeba2ac49114b06a88cbc957366695a6ad915e,476,60.017,7.931
FD0030,data/sleeping_to_fall/video_20260223_151648.mp4,339d72c1ace05bdc8d9e38aeccc1d62755b81963ce01aa2b7137aed0e6133257,366,50.005,7.319
FD0031,data/sleeping_to_fall/video_20260223_151755.mp4,12630ff85492b0523005957d29e17a89a3ac894966e13a633673e57cfb7b2971,474,60.017,7.898
FD0032,data/sleeping_to_fall/video_20260223_152328.mp4,9cf4570ecb13c7e6fdab781a3403e1911a4c69fb03f46fa63eb47c1c50fe87db,231,50.004,4.62
FD0033,data/standing_to_fall/video_20260216_152051.mp4,4a1f32db7c7133b7ed7248f31bd0429a399ceb1f6cd9e65fcb4ccc6779ab1353,95,59.386,1.6
FD0034,data/standing_to_fall/video_20260216_152309.mp4,9dcaad933728016af70deb9d6673fdd347e1c78ec6710cf1871051b71ac7a295,133,58.691,2.266
FD0035,data/standing_to_fall/video_20260216_152357.mp4,2eba79be0011035ff2c77cb926cd2c66edd8c8e13f6178ec550243ab25c2f0f8,579,60.016,9.647
FD0036,data/standing_to_fall/video_20260216_152530.mp4,946d3c254dfc8f6215e8578e18acdb99171cf9a9ad86284d72d16b27289d7ecf,256,60.016,4.266
FD0037,data/standing_to_fall/video_20260216_152555.mp4,09439302bfcbce0862098db8881f6711721dac1d7e1b314fac192c8757f8665f,393,59.864,6.565
FD0038,data/standing_to_fall/video_20260216_152627.mp4,ffd4746ffc216d7f1a1892f897841ee421eac8ff1d75eedbf6b4cbba92c308c9,274,50.005,5.479
FD0039,data/standing_to_fall/video_20260216_152643.mp4,e3e1de4e1164b224fd1efe8caf75a338742e64903207ccdfc91daf8565d45b70,281,50.004,5.62
FD0040,data/standing_to_fall/video_20260216_152909.mp4,1babba5ea4f9b65727473d2765054324d39aa26edf233ba87fade1849aad1bc5,187,50.004,3.74
FD0041,data/standing_to_fall/video_20260216_152945.mp4,be98643b1419e6d7cee9e7a65df7033839c1ed9b558f08c62d501a8ea5d8e90f,172,50.004,3.44
FD0042,data/standing_to_fall/video_20260216_153804.mp4,a5c9274201509cbb120e70062a0389951a8781c13c41075503adcc8ea6d26b05,246,50.004,4.92
FD0043,data/standing_to_fall/video_20260216_153842.mp4,192b9bdcecb6b9dd992d76e3885c502c7fb0043f99a316103a38a80fe9d71151,201,45.48,4.419
FD0044,data/standing_to_fall/video_20260216_154044.mp4,6d7fa5a45a525e56afd2756d88657fe55f39e4e9fc901fe2c314d31b5bf580f9,474,59.889,7.915
FD0045,data/standing_to_fall/video_20260216_154134.mp4,96f6d9382481d7aea9bead21a91a48a41cd0180ac13a3408e5d30a4f46385b07,342,60.017,5.698
FD0046,data/standing_to_fall/video_20260216_154655.mp4,3c573bc833e2ed27488b0541be49fa9c1b9533339bfb9ff76edccc53b4a781aa,166,60.015,2.766
FD0047,data/standing_to_fall/video_20260216_154746.mp4,5bef6d3eca81a2ba599749e8624be792ee2ad123ca3241a20d4bf8395e4de411,192,50.004,3.84
FD0048,data/standing_to_fall/video_20260216_154857.mp4,ec20c9c5cad665c6d4c9b26eeaa11a8e36de2edc7d8ea294287c703d3104e9d2,145,50.003,2.9
FD0049,data/standing_to_fall/video_20260216_155034.mp4,4cfe103f1fc58be4fcb5a6ef543e6f6037afce00ee24c0a242c2ac977c2ce0a1,197,50.004,3.94
FD0050,data/standing_to_fall/video_20260216_155114.mp4,6571a5adce3a271fc05fd60bad2f5148d603ee0161fabe2b8e42a12ac504dbcb,312,50.005,6.239
FD0051,data/standing_to_fall/video_20260223_152105.mp4,3644c3b81348a40279911105ef8b573b743b4fba61cf0382e182abd7c54b2bd1,177,50.004,3.54
FD0052,data/standing_to_fall/video_20260223_152210.mp4,fda351a27b7d832e9ae708810b47257a3d2635c353a1251bc45195ab23de9d65,208,60.014,3.466
FD0053,data/standing_to_fall/video_20260223_152238.mp4,591912e23dd9430d76ee7e2b230ccaa424ad9030cadf30779b8dfda76dd0bfd7,242,50.004,4.84
FD0054,data/standing_to_fall/video_20260223_152521.mp4,0c56e6b35d4285191ccddf3cf3450faa07ebef082014e80b3c282a20317afc78,353,50.004,7.059
